municipio,latitud,longitud,altitud_msnm,cat_altitud
POINT (-75.61103107 6.257590259),6.257590259,-75.61103107,1523.0,Medio (1.000-1.800 m)
POINT (-75.43847353 5.803728154),5.803728154,-75.43847353,2099.0,Alto (1.800-2.200 m)
POINT (-76.08597756 6.627569378),6.627569378,-76.08597756,2055.0,Alto (1.800-2.200 m)
POINT (-75.09059702 6.365534125),6.365534125,-75.09059702,1466.0,Medio (1.000-1.800 m)
POINT (-75.7080031 6.032921994),6.032921994,-75.7080031,1545.0,Medio (1.000-1.800 m)
POINT (-74.9812393 6.977788843),6.977788843,-74.9812393,1425.0,Medio (1.000-1.800 m)
POINT (-75.94128391 5.604993248),5.604993248,-75.94128391,1790.0,Medio (1.000-1.800 m)
POINT (-75.71594966 6.121430303),6.121430303,-75.71594966,1609.0,Medio (1.000-1.800 m)
POINT (-75.358316 6.861498764),6.861498764,-75.358316,1881.0,Alto (1.800-2.200 m)
POINT (-75.10848954 7.193110778),7.193110778,-75.10848954,1101.0,Medio (1.000-1.800 m)
POINT (-75.90426658 6.535711576),6.535711576,-75.90426658,1846.0,Alto (1.800-2.200 m)
POINT (-75.91736927 6.293546613),6.293546613,-75.91736927,1102.0,Medio (1.000-1.800 m)
POINT (-76.58236264 7.86047815),7.86047815,-76.58236264,217.0,Bajo (<1.000 m)
POINT (-76.41478317 8.611395262),8.611395262,-76.41478317,58.0,Bajo (<1.000 m)
POINT (-75.09469795 5.708114524),5.708114524,-75.09469795,1049.0,Medio (1.000-1.800 m)
POINT (-75.80995528 6.163683758),6.163683758,-75.80995528,1380.0,Medio (1.000-1.800 m)
POINT (-75.32924085 6.443417935),6.443417935,-75.32924085,1301.0,Medio (1.000-1.800 m)
POINT (-75.68621659 6.665853953),6.665853953,-75.68621659,2909.0,Muy alto (>2.200 m)
POINT (-75.58973588 6.358841086),6.358841086,-75.58973588,2076.0,Alto (1.800-2.200 m)
POINT (-75.98689107 5.727081285),5.727081285,-75.98689107,1274.0,Medio (1.000-1.800 m)
POINT (-75.95649246 6.185783612),6.185783612,-75.95649246,1675.0,Medio (1.000-1.800 m)
POINT (-76.01065253 5.840995666),5.840995666,-76.01065253,1163.0,Medio (1.000-1.800 m)
POINT (-75.56223474 7.111788462),7.111788462,-75.56223474,1505.0,Medio (1.000-1.800 m)
POINT (-75.91206595 6.80906489),6.80906489,-75.91206595,1468.0,Medio (1.000-1.800 m)
POINT (-75.22369744 7.665155105),7.665155105,-75.22369744,138.0,Bajo (<1.000 m)
POINT (-75.99351498 6.423463639),6.423463639,-75.99351498,2246.0,Muy alto (>2.200 m)
POINT (-75.62642674 6.054446841),6.054446841,-75.62642674,1825.0,Alto (1.800-2.200 m)
POINT (-75.28766178 7.036017478),7.036017478,-75.28766178,1485.0,Medio (1.000-1.800 m)
POINT (-76.02689632 6.814950023),6.814950023,-76.02689632,1785.0,Medio (1.000-1.800 m)
POINT (-74.73354817 6.33797388),6.33797388,-74.73354817,729.0,Bajo (<1.000 m)
POINT (-75.63082096 5.555275296),5.555275296,-75.63082096,1852.0,Alto (1.800-2.200 m)
POINT (-76.64374657 7.757967437),7.757967437,-76.64374657,40.0,Bajo (<1.000 m)
POINT (-75.2635361 5.978078841),5.978078841,-75.2635361,2376.0,Muy alto (>2.200 m)
POINT (-75.30590654 6.754821442),6.754821442,-75.30590654,2118.0,Alto (1.800-2.200 m)
POINT (-75.03501824 7.867941792),7.867941792,-75.03501824,74.0,Bajo (<1.000 m)
POINT (-76.63964213 7.631665644),7.631665644,-76.63964213,52.0,Bajo (<1.000 m)
POINT (-75.08254116 6.550065431),6.550065431,-75.08254116,1452.0,Medio (1.000-1.800 m)
POINT (-75.16015403 6.005593074),6.005593074,-75.16015403,1258.0,Medio (1.000-1.800 m)
POINT (-75.21785901 6.376106187),6.376106187,-75.21785901,1889.0,Alto (1.800-2.200 m)
POINT (-75.90014678 6.057468678),6.057468678,-75.90014678,1830.0,Alto (1.800-2.200 m)
POINT (-75.50075633 6.351882893),6.351882893,-75.50075633,1413.0,Medio (1.000-1.800 m)
POINT (-76.31426328 6.992243782),6.992243782,-76.31426328,897.0,Bajo (<1.000 m)
POINT (-75.42227687 6.492403905),6.492403905,-75.42227687,2271.0,Muy alto (>2.200 m)
POINT (-75.78331175 6.326444922),6.326444922,-75.78331175,1229.0,Medio (1.000-1.800 m)
POINT (-74.66427726 7.704633351),7.704633351,-74.66427726,248.0,Bajo (<1.000 m)
POINT (-75.55913083 6.594656004),6.594656004,-75.55913083,2419.0,Muy alto (>2.200 m)
POINT (-75.54686779 6.154394922),6.154394922,-75.54686779,2366.0,Muy alto (>2.200 m)
POINT (-75.67926242 5.887702934),5.887702934,-75.67926242,1591.0,Medio (1.000-1.800 m)
POINT (-76.33199656 6.691364773),6.691364773,-76.33199656,967.0,Bajo (<1.000 m)
POINT (-75.94804663 6.663095863),6.663095863,-75.94804663,2118.0,Alto (1.800-2.200 m)
