cod_municipio,anio,semana_epi,tipo_dengue,casos,NOM_MPIO,NOM_DPTO,altitud_msnm,cat_altitud,poblacion,tasa_x100k
01032,2018,20,dengue,1,,,,,,
01032,2018,46,dengue,1,,,,,,
01076,2018,21,dengue,1,,,,,,
01076,2018,27,dengue,1,,,,,,
01076,2018,29,dengue,1,,,,,,
01076,2018,32,dengue,1,,,,,,
01076,2018,34,dengue,1,,,,,,
01076,2018,36,dengue,1,,,,,,
01076,2018,42,dengue,1,,,,,,
01076,2019,3,dengue,1,,,,,,
01076,2019,7,dengue,1,,,,,,
01076,2019,12,dengue,1,,,,,,
01076,2019,15,dengue,1,,,,,,
01076,2019,16,dengue,1,,,,,,
01076,2019,17,dengue,1,,,,,,
01076,2019,18,dengue,1,,,,,,
01076,2019,21,dengue,1,,,,,,
01076,2019,22,dengue,1,,,,,,
01076,2019,23,dengue,1,,,,,,
01076,2019,24,dengue,1,,,,,,
01076,2019,27,dengue,1,,,,,,
01076,2019,28,dengue,1,,,,,,
01076,2019,33,dengue,1,,,,,,
01076,2019,35,dengue,1,,,,,,
01076,2019,36,dengue,1,,,,,,
01076,2019,37,dengue,1,,,,,,
01076,2019,38,dengue,1,,,,,,
01076,2019,39,dengue,1,,,,,,
01076,2019,40,dengue,1,,,,,,
01076,2019,41,dengue,1,,,,,,
01076,2019,42,dengue,1,,,,,,
01076,2019,43,dengue,1,,,,,,
01076,2019,44,dengue,1,,,,,,
01076,2019,45,dengue,1,,,,,,
01076,2019,46,dengue,1,,,,,,
01076,2019,47,dengue,1,,,,,,
01076,2019,48,dengue,1,,,,,,
01076,2019,49,dengue,1,,,,,,
01076,2019,50,dengue,1,,,,,,
01076,2019,51,dengue,1,,,,,,
01076,2019,52,dengue,1,,,,,,
01152,2018,37,dengue,1,,,,,,
01152,2019,18,dengue,1,,,,,,
01152,2019,31,dengue,1,,,,,,
01188,2019,31,dengue,1,,,,,,
01192,2019,2,dengue,1,,,,,,
01192,2019,17,dengue,1,,,,,,
01192,2019,21,dengue,1,,,,,,
01192,2019,35,dengue,1,,,,,,
01192,2019,36,dengue,1,,,,,,
01192,2019,39,dengue,1,,,,,,
01192,2019,41,dengue,1,,,,,,
01214,2019,47,dengue,1,,,,,,
01218,2018,48,dengue,1,,,,,,
01218,2019,21,dengue,1,,,,,,
01218,2019,35,dengue,1,,,,,,
01218,2019,36,dengue,1,,,,,,
01218,2019,38,dengue,1,,,,,,
01218,2019,39,dengue,1,,,,,,
01218,2019,44,dengue,1,,,,,,
01218,2019,46,dengue,1,,,,,,
01250,2018,29,dengue,1,,,,,,
01276,2018,51,dengue,1,,,,,,
01340,2019,17,dengue,1,,,,,,
01356,2018,40,dengue,1,,,,,,
01356,2019,46,dengue,1,,,,,,
01398,2019,49,dengue,1,,,,,,
01434,2019,4,dengue,1,,,,,,
01446,2019,27,dengue,1,,,,,,
01446,2019,40,dengue,1,,,,,,
01484,2018,15,dengue,1,,,,,,
01484,2018,40,dengue,1,,,,,,
01484,2018,47,dengue,1,,,,,,
01484,2018,49,dengue,1,,,,,,
01484,2019,9,dengue,1,,,,,,
01484,2019,17,dengue,1,,,,,,
01484,2019,31,dengue,1,,,,,,
01484,2019,34,dengue,1,,,,,,
01484,2019,37,dengue,1,,,,,,
01484,2019,41,dengue,1,,,,,,
01484,2019,43,dengue,1,,,,,,
01484,2019,47,dengue,1,,,,,,
01484,2019,49,dengue,1,,,,,,
01484,2019,51,dengue,1,,,,,,
01516,2018,43,dengue,1,,,,,,
01516,2019,7,dengue,1,,,,,,
01528,2019,2,dengue,1,,,,,,
01591,2018,39,dengue,1,,,,,,
01591,2019,2,dengue,1,,,,,,
01591,2019,7,dengue,1,,,,,,
01591,2019,38,dengue,1,,,,,,
01591,2019,46,dengue,1,,,,,,
01591,2019,48,dengue,1,,,,,,
01591,2019,52,dengue,1,,,,,,
01604,2018,2,dengue,1,,,,,,
01604,2018,28,dengue,1,,,,,,
01604,2019,3,dengue,1,,,,,,
01604,2019,5,dengue,1,,,,,,
01604,2019,8,dengue,1,,,,,,
01604,2019,12,dengue,1,,,,,,
01604,2019,37,dengue,1,,,,,,
01756,2018,22,dengue,1,,,,,,
01764,2018,47,dengue,1,,,,,,
01826,2019,28,dengue,1,,,,,,
01840,2019,43,dengue,1,,,,,,
01858,2018,37,dengue,1,,,,,,
01862,2018,1,dengue,1,,,,,,
01862,2018,3,dengue,1,,,,,,
01862,2018,4,dengue,1,,,,,,
01862,2018,5,dengue,1,,,,,,
01862,2018,7,dengue,1,,,,,,
01862,2018,8,dengue,1,,,,,,
01862,2018,8,dengue_grave,1,,,,,,
01862,2018,8,mortalidad,1,,,,,,
01862,2018,9,dengue,1,,,,,,
01862,2018,10,dengue,1,,,,,,
01862,2018,12,dengue,1,,,,,,
01862,2018,13,dengue,1,,,,,,
01862,2018,14,dengue,1,,,,,,
01862,2018,15,dengue,1,,,,,,
01862,2018,16,dengue,1,,,,,,
01862,2018,18,dengue,1,,,,,,
01862,2018,19,dengue,1,,,,,,
01862,2018,20,dengue,1,,,,,,
01862,2018,21,dengue,1,,,,,,
01862,2018,21,dengue_grave,1,,,,,,
01862,2018,22,dengue,1,,,,,,
01862,2018,23,dengue,1,,,,,,
01862,2018,24,dengue,1,,,,,,
01862,2018,24,dengue_grave,1,,,,,,
01862,2018,24,mortalidad,1,,,,,,
01862,2018,25,dengue,1,,,,,,
01862,2018,26,dengue,1,,,,,,
01862,2018,26,dengue_grave,1,,,,,,
01862,2018,27,dengue,1,,,,,,
01862,2018,28,dengue,1,,,,,,
01862,2018,29,dengue,1,,,,,,
