cod_evento,nombre,anio,semana_epi,cod_dpto_o,nom_mun,cod_mun_o,conteo_casos,_fuente,nombre_evento,municipio_ocurrencia,departamento_ocurrencia,conteo,cod_municipio,tipo_dengue
210,DENGUE,2018,1,1.0,EXTERIOR_VENEZUELA,862.0,1.0,2018,,,,,01862,dengue
210,DENGUE,2018,1,5.0,NECOCLI,490.0,3.0,2018,,,,,05490,dengue
210,DENGUE,2018,1,5.0,SAN JUAN DE URABA,659.0,1.0,2018,,,,,05659,dengue
210,DENGUE,2018,1,5.0,TURBO,837.0,4.0,2018,,,,,05837,dengue
210,DENGUE,2018,1,8.0,BARRANQUILLA,1.0,44.0,2018,,,,,08001,dengue
210,DENGUE,2018,1,8.0,MALAMBO,433.0,1.0,2018,,,,,08433,dengue
210,DENGUE,2018,1,8.0,SANTO TOMAS,685.0,1.0,2018,,,,,08685,dengue
210,DENGUE,2018,1,8.0,SOLEDAD,758.0,26.0,2018,,,,,08758,dengue
210,DENGUE,2018,1,13.0,CARTAGENA,1.0,1.0,2018,,,,,13001,dengue
210,DENGUE,2018,1,13.0,MAGANGUE,430.0,1.0,2018,,,,,13430,dengue
210,DENGUE,2018,1,19.0,PIAMONTE,533.0,1.0,2018,,,,,19533,dengue
210,DENGUE,2018,1,20.0,SAN ALBERTO,710.0,5.0,2018,,,,,20710,dengue
210,DENGUE,2018,1,20.0,VALLEDUPAR,1.0,7.0,2018,,,,,20001,dengue
210,DENGUE,2018,1,23.0,MOÑITOS,500.0,1.0,2018,,,,,23500,dengue
210,DENGUE,2018,1,25.0,* CUNDINAMARCA. MUNICIPIO DESCONOCIDO,0.0,1.0,2018,,,,,25000,dengue
210,DENGUE,2018,1,25.0,GACHETA,297.0,1.0,2018,,,,,25297,dengue
210,DENGUE,2018,1,25.0,TOCAIMA,815.0,4.0,2018,,,,,25815,dengue
210,DENGUE,2018,1,41.0,BARAYA,78.0,1.0,2018,,,,,41078,dengue
210,DENGUE,2018,1,41.0,GARZON,298.0,2.0,2018,,,,,41298,dengue
210,DENGUE,2018,1,41.0,NEIVA,1.0,10.0,2018,,,,,41001,dengue
210,DENGUE,2018,1,44.0,MAICAO,430.0,7.0,2018,,,,,44430,dengue
210,DENGUE,2018,1,44.0,URIBIA,847.0,4.0,2018,,,,,44847,dengue
210,DENGUE,2018,1,47.0,NUEVA GRANADA,460.0,1.0,2018,,,,,47460,dengue
210,DENGUE,2018,1,47.0,SANTA MARTHA,1.0,1.0,2018,,,,,47001,dengue
210,DENGUE,2018,1,50.0,PUERTO LOPEZ,573.0,3.0,2018,,,,,50573,dengue
210,DENGUE,2018,1,50.0,RESTREPO,606.0,1.0,2018,,,,,50606,dengue
210,DENGUE,2018,1,50.0,VISTAHERMOSA,711.0,1.0,2018,,,,,50711,dengue
210,DENGUE,2018,1,52.0,TUMACO,835.0,2.0,2018,,,,,52835,dengue
210,DENGUE,2018,1,54.0,ABREGO,3.0,2.0,2018,,,,,54003,dengue
210,DENGUE,2018,1,54.0,LOS PATIOS,405.0,1.0,2018,,,,,54405,dengue
210,DENGUE,2018,1,63.0,CALARCA,130.0,1.0,2018,,,,,63130,dengue
210,DENGUE,2018,1,63.0,FILANDIA,272.0,1.0,2018,,,,,63272,dengue
210,DENGUE,2018,1,68.0,BARICHARA,79.0,1.0,2018,,,,,68079,dengue
210,DENGUE,2018,1,68.0,CIMITARRA,190.0,1.0,2018,,,,,68190,dengue
210,DENGUE,2018,1,68.0,GIRON,307.0,2.0,2018,,,,,68307,dengue
210,DENGUE,2018,1,68.0,SABANA DE TORRES,655.0,1.0,2018,,,,,68655,dengue
210,DENGUE,2018,1,68.0,SAN GIL,679.0,1.0,2018,,,,,68679,dengue
210,DENGUE,2018,1,73.0,CHAPARRAL,168.0,2.0,2018,,,,,73168,dengue
210,DENGUE,2018,1,73.0,COELLO,200.0,1.0,2018,,,,,73200,dengue
210,DENGUE,2018,1,73.0,ESPINAL,268.0,4.0,2018,,,,,73268,dengue
210,DENGUE,2018,1,73.0,LIBANO,411.0,2.0,2018,,,,,73411,dengue
210,DENGUE,2018,1,73.0,MELGAR,449.0,2.0,2018,,,,,73449,dengue
210,DENGUE,2018,1,73.0,PALOCABILDO,520.0,1.0,2018,,,,,73520,dengue
210,DENGUE,2018,1,73.0,PURIFICACION,585.0,1.0,2018,,,,,73585,dengue
210,DENGUE,2018,1,73.0,SAN LUIS,678.0,3.0,2018,,,,,73678,dengue
210,DENGUE,2018,1,76.0,CAICEDONIA,122.0,2.0,2018,,,,,76122,dengue
210,DENGUE,2018,1,76.0,CALI,1.0,52.0,2018,,,,,76001,dengue
210,DENGUE,2018,1,76.0,CANDELARIA,130.0,2.0,2018,,,,,76130,dengue
210,DENGUE,2018,1,76.0,PALMIRA,520.0,1.0,2018,,,,,76520,dengue
210,DENGUE,2018,1,76.0,TULUA,834.0,1.0,2018,,,,,76834,dengue
210,DENGUE,2018,1,76.0,ZARZAL,895.0,2.0,2018,,,,,76895,dengue
210,DENGUE,2018,1,81.0,ARAUQUITA,65.0,1.0,2018,,,,,81065,dengue
210,DENGUE,2018,1,85.0,TAMARA,400.0,1.0,2018,,,,,85400,dengue
210,DENGUE,2018,1,86.0,ORITO,320.0,5.0,2018,,,,,86320,dengue
210,DENGUE,2018,1,86.0,VILLAGARZON,885.0,2.0,2018,,,,,86885,dengue
210,DENGUE,2018,2,1.0,EXTERIOR_PERU,604.0,1.0,2018,,,,,01604,dengue
210,DENGUE,2018,2,5.0,BARBOSA,79.0,5.0,2018,,,,,05079,dengue
210,DENGUE,2018,2,5.0,BELLO,88.0,2.0,2018,,,,,05088,dengue
210,DENGUE,2018,2,5.0,CAREPA,147.0,4.0,2018,,,,,05147,dengue
210,DENGUE,2018,2,5.0,ENVIGADO,266.0,1.0,2018,,,,,05266,dengue
210,DENGUE,2018,2,5.0,MEDELLIN,1.0,35.0,2018,,,,,05001,dengue
210,DENGUE,2018,2,5.0,PUERTO BERRIO,579.0,1.0,2018,,,,,05579,dengue
210,DENGUE,2018,2,5.0,PUERTO TRIUNFO,591.0,1.0,2018,,,,,05591,dengue
210,DENGUE,2018,2,8.0,MALAMBO,433.0,2.0,2018,,,,,08433,dengue
210,DENGUE,2018,2,8.0,MANATI,436.0,2.0,2018,,,,,08436,dengue
210,DENGUE,2018,2,17.0,* CALDAS. MUNICIPIO DESCONOCIDO,0.0,1.0,2018,,,,,17000,dengue
